system:index,Blue,Green,NDSI,NDVI,NDWI,NIR,Red,SWIR1,SWIR2,Thermal,class,random,.geo
1_1_1_1_9_1,0.22033750000000002,0.23202499999999998,0.905694,-0.13166705,0.13614452,0.1721025,0.22482000000000002,0.012080000000000007,0.01097999999999999,279.08300515999997,0,0.5216015956585959,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_9_2,0.1926175,0.2130225,0.861068,-0.14057183,0.13327925,0.18832749999999998,0.21621250000000003,0.015902499999999986,0.0173325,280.07764898,0,0.69903881291107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_9_3,0.1926175,0.2130225,0.861068,-0.14057183,0.13327925,0.18832749999999998,0.21621250000000003,0.015902499999999986,0.0173325,280.07764898,0,0.4486614599397595,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_9_7,0.23892750000000001,0.2415675,0.76222134,-0.05162579,0.0049191923,0.23920249999999998,0.265245,0.032594999999999985,0.02833250000000001,281.50296332,0,0.5913562062395967,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_0,0.618015,0.67615,0.9548169,-0.04784429,0.020384116,0.6273925,0.7184725000000001,0.012465000000000004,0.013757500000000006,274.60539896,0,0.4455351352559257,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_1,0.6184825,0.674885,0.95433563,-0.04832632,0.020224907,0.6279699999999999,0.7189125000000001,0.012657499999999988,0.01400499999999999,274.74553778,0,0.5569265483978451,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_2,0.6184825,0.674885,0.95433563,-0.04832632,0.020224907,0.6279699999999999,0.7189125000000001,0.012657499999999988,0.01400499999999999,274.74553778,0,0.31435525540548725,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_3,0.60971,0.6681475000000001,0.95631343,-0.051696774,0.020255055,0.6220300000000001,0.71069,0.012712499999999988,0.013812500000000005,274.84466036,0,0.605424566833782,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_4,0.5956575,0.6538200000000001,0.9577541,-0.054713324,0.021238396,0.6096825000000001,0.6963625,0.01296,0.013784999999999992,274.84466036,0,0.12573678986143644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_10_5,0.6260725,0.685775,0.9529034,-0.046288062,0.019761123,0.6329475,0.7277125,0.012932499999999986,0.013784999999999992,274.612235,0,0.6634654323917263,"{""type"":""MultiPoint"",""coordinates"":[]}"
